English (GB)	Deutsch (DE)	Français (FR)	Italiano (IT)	Suomalainen (FI)	Nederlands (NL)	Polski (PL)	Dansk (DK)	한국어 (KO)	Svenska (SE)	日本語 (JA)	Español (ES)
The job extent over-reaches the N axis at the home end.	Die Job-Maße überschreiten die N-Achse in Richtung Maschinennullpunkt.	L'étendue de la tâche dépasse l'origine de l'axe N.	Le dimensioni di lavorazione superano l'asse N in direzione HOME.	Työn laajuus ylittää N-akselin kotipäässä.	De omvang van de job overschrijdt de N-as aan het begin van de job.	Obszar programu wykracza poza oś N po stronie pozycji bazowania.	Arbejdets omfang rækker ud over N-aksen i enden med hjem.	작업 범위가 홈 끝에서 N축을 초과합니다.	Jobbet passerar n axelns längd vid hemlägerssidan. 	ジョブ範囲がホームエンドで N 軸を超えています。	La extensión del trabajo sobrepasa el eje N en el extremo de inicio.
Try positioning the machine's N datum further away from home.	Versuchen Sie, den N-Bezugspunkt der Maschine weiter von der Ausgangsposition entfernt zu positionieren.	Essayez de positionner le point de référence N de la machine plus loin de l'origine.	Prova a posizionare l'origine N della macchina più lontano dalla HOME.	Yritä sijoittaa koneen N-nollapiste kauemmas kotiasemasta.	Probeer het N-nulpunt van de machine verder van huis te plaatsen.	Ustaw punkt referencyjny N dalej od pozycji bazowania.	Prøv at placere maskinens N-nulpunkt længere væk fra hjemmet.	기계의 N 기준을 홈에서 더 멀리 배치하십시오.	Testa att placera N-nollpunkten längre ifrån maskinens hemmaläge	機械の N 基準点をホームからさらに遠ざけてみてください。	Pruebe a colocar el punto de referencia N de la máquina más lejos del inicio.
The job extent over-reaches the Z axis at the lower end.	Die Job-Maße überschreiten die Z-Achse am unteren Ende.	L'étendue de la travail dépasse l'axe Z à l'extrémité inférieure.	La profondità di lavorazione supera il limite inferiore di Z.	Työn laajuus ylittää Z-akselin alapäässä.	De omvang van de job overschrijdt de Z-as aan het onderste uiteinde.	Obszar programu przekracza oś Z w dolnym położeniu.	Arbejdets omfang rækker ud over Z-aksen i den nederste ende.	작업 범위가 하단의 Z축을 초과합니다.	Jobbet sträcker sig över Z-axeln i den nedre delen.	ジョブ範囲は下端で Z 軸を超えています。	La extensión del trabajo sobrepasa el eje Z en el extremo inferior.
Try positioning the machine's Z datum higher up.	Versuchen Sie, den Z-Nullpunkt der Maschine weiter oben zu positionieren.	Essayez de positionner le point d'origine Z de la machine plus haut.	Prova a posizionare l'origine di Z più in alto.	Yritä sijoittaa koneen Z-nollapiste ylemmäs.	Probeer het Z-nulpunt van de machine hoger te plaatsen.	Proszę ustaw punkt odniesienia wyżej w osi Z.	Prøv at placere maskinens Z-nulpunkt højere oppe.	기계의 Z기준을 더높이 포지셔닝 하십시오.	Försök att placera maskinens Z-nollpunkt högre upp.	機械の Z 基準点をより高い位置に配置してみてください。	Intente colocar el punto de referencia Z de la máquina más arriba.
The job extent over-reaches the N axis at the far end.	Die Job-Maße überschreiten die N-Achse am äußersten Ende.	L'étendue du travail dépasse l'axe N à l'extrémité de l'origine	Le dimensioni di lavorazione superano l'asse N in direzione FINE CORSA.	Työn laajuus ylittää N-akselin etäpäässä.	De omvang van de job overschrijdt de N-as aan het uiteinde.	Obszar wczytanego programu przekracza oś N.	Arbejdets omfang rækker ud over N-aksen i den yderste ende.	작업 범위가 맨 끝에 있는 N축을 초과합니다.	Arbetets omfattning sträcker sig över N-axeln i den bortre änden.	ジョブ範囲は遠端で N 軸を超えています。	La extensión del trabajo sobrepasa el eje N en el extremo.
Try positioning the machine's N datum closer to home.	Versuchen Sie, den N-Bezugspunkt der Maschine näher an der Ausgangsposition zu positionieren.	Essayez de positionner le point de référence N de la machine plus près de l'origine.	Prova a posizionare l'origine N della macchina più vicino alla HOME	Yritä sijoittaa koneen N-nollapiste lähemmäs kotia.	Probeer het N-nulpunt van de machine dichter bij huis te plaatsen.	Proszę ustaw punkt odniesienia N bliżej pozycji bazowania.	Prøv at placere maskinens N-nulpunkt tættere på hjemmet.	기계의 N기준을 홈에 가깝게 배치하십시오.	Försök att placera maskinens N-nollpunkt  närmare maskinens hemmaläge	機械の N 基準点を原点に近い位置に配置してみてください。	Intente colocar el punto de referencia N de la máquina más cerca del inicio.
The job extent over-reaches the Z axis at the upper end.	Die Job-Maße überschreiten die Z-Achse am oberen Ende.	L'étendue du travail dépasse l'axe Z à l'extrémité supérieure.	La dimensioni della lavorazione superano il limite superiore di Z	Työn laajuus ylittää Z-akselin yläpäässä.	De omvang van de job overschrijdt de Z-as aan het bovenste uiteinde.	Obszar wczytanego programu wykracza poza oś Z w górnej pozycji.	Arbejdets omfang rækker ud over Z-aksen i den øverste ende.	작업 범위는 상단의 Z 축을 과도하게 연기합니다.	Jobbet sträcker sig förbi z-axelns i den övre delen.	ジョブ範囲は上端で Z 軸を超えています。	La extensión del trabajo sobrepasa el eje Z en el extremo superior.
Try positioning the machine's Z datum lower down.	Versuchen Sie, den Z-Nullpunkt der Maschine weiter unten zu positionieren.	Essayez de positionner le point d'origine Z de la machine plus bas	Prova a posizionare l'origine Z della macchina più in basso.	Yritä sijoittaa koneen Z-nollapiste alemmas.	Probeer het Z-nulpunt van de machine lager te plaatsen.	Proszę ustaw punkt odniesienia niżej w osi Z.	Prøv at placere maskinens Z-nulpunkt længere nede.	기계의 Z기준을 아래로 배치하십시오.	Försök att placera maskinens Z-nollpungt lägre ner	機械の Z 基準点を下に配置してみてください。	Intente colocar el punto de referencia Z de la máquina más abajo.
Is this where you want to set your X-Y datum?	Wollen Sie hier Ihren X-Y-Nullpunkt setzen?	Est-ce là que vous voulez placer votre point d'origine X-Y ?	È qui che vuoi impostare l'origine X-Y?	Haluatko asettaa X-Y-nollapisteen tähän kohtaan?	Is dit waar u uw X-Y nulpunt wilt instellen?	Chcesz tutaj ustawić punkt odniesienia w osiach X-Y?	Er det her, du ønsker at indstille dit X-Y-nulpunkt?	X-Y 기준을 설정하려는 곳입니까?	Är det här du vill ställa in ditt X-Y nollpunkt?	ここに X-Y データムを設定しますか?	¿Es aquí donde quiere fijar su punto de referencia X-Y?
Is this where you want to set your standby position?	Wollen Sie hier Ihre Standby-Position setzen?	Est-ce là que vous voulez régler votre position d'attente ?	È qui che vuoi impostare la posizione di attesa?	Tähänkö haluat asettaa valmiusaseman?	Is dit waar u uw stand-by positie wilt instellen?	Chcesz tutaj ustawić swoją pozycję oczekiwania?	Er det her, du ønsker at indstille din standby-position?	대기 위치를 설정하려는 위치입니까?	Är det här du vill ställa in din standby-position?	スタンバイ位置はここでしょうか？	¿Es aquí donde quieres establecer tu posición de espera?
Warning!	Warnung!	Attention !	Attenzione!	Varoitus!	Waarschuwing!	Ostrzeżenie!	Advarsel!	경고!	Varning!	警告！	¡Atención!
Yes	Ja	Oui	Sì	Kyllä	Ja	Tak	Ja	예	Ja	はい	Sí
No	Nein	Non	No	Ei	Nee	Nie	Nej	아니요	Nej	いいえ	No
Use laser crosshair?	Laser-Fadenkreuz verwenden?	Utiliser la visée laser?	Usa il mirino laser?	Käytetäänkö laserristikkoa?	Gebruikt u een laserkruispunt?	Chcesz wykorzystać pozycję celownika laserowego?	Brug laserkorset?	레이저 크로스헤어를 사용하시겠습니까?	Anvnänd krysslasern	レーザー十字線を使用しますか?	¿Utilizar el punto de mira láser?
Is this where you want to set your N datum?	Wollen Sie hier Ihren N-Bezugspunkt setzen?	Est-ce là que vous voulez régler votre point d'origine N ?	È qui che vuoi impostare l'origine di N?	Haluatko asettaa N-datan tähän kohtaan?	Is dit waar u uw N-nulpunt wilt instellen?	Czy jest to miejsce, w którym chcesz ustawić swój punkt odniesienia N?	Er det her, du ønsker at indstille dit N-nulpunkt?	이곳이 N 기준을 설정하려는 위치입니까?	Är det här du vill ställ in din N-nollpunkt?	ここは N データムを設定する場所ですか?	¿Es aquí donde quiere fijar su punto de referencia N?
You need to home SmartBench first!	Sie müssen erst eine Referenzfahrt (homing) durchführen!	Vous devez d'abord régler votre Smartbench sur son point d'origine	Devi prima effettuare l'homing di SmartBench!	Sinun on ensin käynnistettävä SmartBench!	U moet SmartBench eerst thuisbrengen!	Najpierw wykonaj operację Bazowania SmartBench!	Du skal først køre SmartBench i hjem!	먼저 SmartBench를 홈으로 가져와야 합니다!	Du behöver köra hem din SmartBench först!	まず SmartBench をホームにする必要があります。	Primero hay que ir al inicio en SmartBench.
Home	Referenzfahrt	Accueil	Home	Home	Thuis	Bazowanie	Hjem	홈	Hem	家	Inicio
